id,twitter
51,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
52,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
53,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
54,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
55,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
56,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
57,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
58,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
59,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
60,RT @fikriahzry: Lepas settle semua kes ni ... merayu sgt2 angkatlah balik maruah pelajar2 Kolej Vokasional yang selama ni di pandang enteng…
61,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
62,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
63,"Salam semua, Tabung Haji Hotel Kuching akan mengadakan open interview di UTC ari tok pukul 9 pagi-5 ptg, tulong pad…  "
64,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
65,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
66,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
67,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
68,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
69,RT @fikriahzry: Lepas settle semua kes ni ... merayu sgt2 angkatlah balik maruah pelajar2 Kolej Vokasional yang selama ni di pandang enteng…
70,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
71,"RT @azean_hasan: Tu baru 1mdb punya lapuran..belum lagi kwap, tabung haji, mara..felda..siapa sebenarnya memiskinkan melayu,kalau bukan bek…"
72,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
73,"RT @HidupBer1: Ayuh @SPRMMalaysia jalankan kerja dn kewajipan, kamu tiada dikongkong oleh sesiapa lagi ..  "
74,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
75,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
76,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
77,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
78,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
79,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
80,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
81,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
82,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
83,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
84,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
85,@maqariffin Haha nasi briani depan tabung haji qam 
86,"RT @HidupBer1: Ayuh @SPRMMalaysia jalankan kerja dn kewajipan, kamu tiada dikongkong oleh sesiapa lagi ..  "
87,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
88,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
89,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
90,RT @KerajaanRakyat2: Berlakon sakit dan masuk hospital. takut #sprm cekup. Ini org yg sapu duit Tabung Haji. betul2 macam dlm filem Tamil.…
91,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
92,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
93,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
94,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
95,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
96,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
97,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
98,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
99,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
100,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
101,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
102,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
103,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
104,@KerajaanRakyat2 Dapat maklumat ada usaha bawa keluar dokumen. Boleh tanya kawan Tabung Haji. Ada yg berjaya dibawa…  
105,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
106,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
107,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
108,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
109,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
110,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
111,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
112,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
113,"RT @HafizRayyan: Pembunuhan Altantuya, Scorpene, MARA, Felda, 1MDB, JhoLow, Rosmah si boros, MH370, MH17, skandal Tabung Haji &amp; many more n…"
114,"Setuju. Rakyat Malaysia berhak tahu skandal2 pemimpin sebelum ini.  Jalankan siasatan juga terhadap Perwaja Steel,…  "
115,@tunfaisal @SpitfireShah @anthraxxxx Berpusing pusing... The money trail outside the country is the real deal.. Wha…  
116,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
117,RT @PutraREFORMASI: Tunggu.. Lepas ni skandal felda Lepas tu MARA Lepas tu tabung haji Lepas tu tanah ATM Lepas tu skandal Scorpene Lepas t…
118,"RT @azean_hasan: Tu baru 1mdb punya lapuran..belum lagi kwap, tabung haji, mara..felda..siapa sebenarnya memiskinkan melayu,kalau bukan bek…"
